,clientes,cantidad_pedidos
141,a7bbfaf8a288c45dc38d4693535dd63f,2
142,a7a6d8b62390ec8014d5a46ee36644c4,2
143,a78c7a68877d33bacf81b01bc4a4d2f2,2
144,a7657330b1c135f3acd420326e335b2c,2
145,a5d3bfee5b23b430b95c4ae295e1028a,2
146,a5c806ebe5b25d0ab1e7f0da0e17d6bc,2
147,a38b86dce31f7c014a0c958b548f6a64,2
148,a327e19095ffb086d25f7ee477c9d3c6,2
149,a1bb96820529725c3c79a77c69e7e792,2
150,a128eb4a87a5195a3a5dfbdc3426c834,2
151,a124666e823bbd5fb77a72afc8c1360c,2
152,a10fe3c477989c968aa284bd448b1d5b,2
153,a0e0770d529c5da6dd71d5be8620aa3b,2
154,a06f383add4d40457f1909b67ce6b7fb,2
155,a00a13ac36037d575bb016caf8f50d53,2
156,9dc44558922ff57d14d99f20d37f440f,2
157,9d62781deeb1060adc0f47a86d4a2ef3,2
158,9d4dad0a5382a8d234d0ad979dc594f2,2
159,9d31457a03125fc870787a251760315a,2
160,9b76c588a7a8d495bce4f71d2559d3ee,2
161,9afb61455d41afffa3ea550d1cfd832c,2
162,999bf1d2709dc80fcf55a92805ecc34f,2
163,98d2fc070f4afbd02c5788eacc6949c5,2
164,9895459a777c96d1f180c344fc5fdefe,2
165,970e5961383615662043afa2d9c68802,2
166,960118b2d734220509690e16787f955e,2
167,95a3ac562ffc17755618fb67ce57ef9a,2
168,947e93a9bb28256adebe49f78cff07ad,2
169,947c249c7f31f3eae2bd05454e1b2040,2
170,92fc4892f11581ee802e8e2fa4296433,2
171,92b0705c6923fe44dd71b2b737687a7c,2
172,91b4cc37bd28118ddabe8e7692c78f2e,2
173,917de9fb824d070a7f1f4db097cbea8d,2
174,8fac120637b2d22be0d6b83111d7c352,2
175,8f9f1a0464f6ab0e25650be9849b086d,2
176,8d6512fa0e1c5cdbd789b956de79fe2f,2
177,8d50f5eadf50201ccdcedfb9e2ac8455,2
178,8c21dd8c37144807c601f99f2a209dfb,2
179,8b1aed2dad15fcad8eb2a5c555e2d26e,2
180,88ecb91d6d5e47ebdc2129cd046b0935,2
181,8816ea7c1592bcab312eae9352996067,2
182,87a7c3090f96d9da963125a0d7f8193a,2
183,876a8881e182fb3a64af97b737cfe889,2
184,87315ceb47e77d03a1c90474e228db6c,2
185,86a78c9e5114f4ed30887d4fd8153d9e,2
186,869be6f00b4c49e72f9a1e2033baa9f0,2
187,8597b390850fe72e108d53f42ca64846,2
188,83424549593093baf504ac260d4615e7,2
189,82fb46292a999e7db9e2391c407f76e4,2
190,82cb8c783b1700af07ae77355cc81c70,2
191,827f51bdaa8e37bf31ff413e0a7699a4,2
192,8241424764e0bfa6bfcb3c6cda391ac8,2
193,822d25972056ef51050804f1e0446f40,2
194,81b133c3f4e30a14a6585a2f20ff150f,2
195,818a54422350b38d3fb1cb3a1553889f,2
196,7ee9e6c80bf1b7ec4a52639eab6c128c,2
197,7e91ec540af718ab375b1d13271e9543,2
198,7d08a8005756c215935d45bcc0e9a760,2
199,7c927c2454a57a0e02fcaceb99750523,2
200,7c8f8d3ff715607148146c64ecb64b11,2
201,7c67f115342d01560cd438fad6346a3c,2
202,7acf19ddc75a0935581845e1c89edb3c,2
203,7779fdf670bfe673e064b9aa5447674e,2
204,77479db0fa60ddc453f3743abc02be23,2
205,75fe145e64986de933b893642277d8a9,2
